
Serial number : IM3021060003  Range : 2A

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
24,23.977,10.0471,0.00998978,4.32374E-06,0.00998978,0.025,-1,-0.011,0.0,2,
34,62.652,1.00443,0.00998855,7.3888E-07,0.00998855,0.004,-1,-0.009,0.0,2,
44,212.035,0.100117,0.00998781,-2.13495E-07,0.00998781,-0.001,-1,-0.004,0.0,2,


Serial number : IM3021060003  Range : 400mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
24,23.972,10.0471,0.00998753,3.99072E-06,0.00998753,0.023,-0.2,-0.003,0.0,0.4,
34,62.646,1.00443,0.0099915,7.04069E-06,0.0099915,0.040,-0.2,-0.003,0.0,0.4,
44,212.028,0.100117,0.00998585,8.23118E-07,0.00998585,0.005,-0.2,-0.003,0.0,0.4,


Serial number : IM3021060003  Range : 200mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
24,23.978,10.0471,0.0999594,1.00431E-05,0.0999594,0.006,-0.1,-0.011,0.0,0.2,
34,62.652,1.00443,0.0999626,1.1011E-05,0.0999626,0.006,-0.1,-0.014,0.0,0.2,
44,212.033,0.100117,0.0999493,1.45905E-06,0.0999493,0.001,-0.1,-0.012,0.0,0.2,


Serial number : IM3021060003  Range : 40mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
24,23.986,10.0471,0.0999496,6.32198E-06,0.0999496,0.004,-0.02,-0.003,0.0,0.04,
34,62.658,1.00443,0.0998855,-2.30378E-05,0.0998855,-0.013,-0.02,-0.003,0.0,0.04,
44,212.041,0.100117,0.0999746,1.55957E-05,0.0999746,0.009,-0.02,-0.004,0.0,0.04,


Serial number : IM3021060003  Range : 20mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
24,23.988,10.0471,0.997908,-6.95365E-05,0.997908,-0.004,-0.01,-0.011,0.0,0.02,
34,62.663,1.00443,0.997838,-6.14918E-05,0.997838,-0.004,-0.01,-0.011,0.0,0.02,
44,212.047,0.100117,0.99794,3.30706E-05,0.99794,0.002,-0.01,-0.014,0.0,0.02,


Serial number : IM3021060003  Range : 4mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
24,23.971,10.0471,0.997858,-6.15041E-05,0.997858,-0.004,-0.002,-0.003,0.0,0.004,
34,62.654,1.00443,0.99773,-0.000780517,0.99773,-0.045,-0.002,-0.003,0.0,0.004,
44,212.037,0.100117,0.997937,0.00014883,0.997937,0.009,-0.002,-0.002,0.0,0.004,


Serial number : IM3021060003  Range : 4mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
24,23.974,10.0471,0.997967,-0.000193981,0.997967,-0.011,-0.002,-0.003,0.0,0.004,
34,62.650,1.00443,0.997763,0.000629155,0.997763,0.036,-0.002,-0.002,0.0,0.004,
44,212.034,0.100117,0.998013,-5.71717E-05,0.998013,-0.003,-0.002,-0.001,0.0,0.004,


Serial number : IM3021060003  Range : 2mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
24,23.981,10.0471,9.99519,-1.6996E-05,9.99519,0.000,-0.001,-0.109,0.0,0.002,
34,62.655,1.00443,9.99631,-6.56429E-05,9.99631,0.000,-0.001,-0.089,0.0,0.002,
44,212.040,0.100117,9.99619,6.0868E-05,9.99619,0.000,-0.001,-0.067,0.0,0.002,


Serial number : IM3021060003  Range : 400uA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
24,23.973,10.0471,9.99671,-0.000770051,9.99671,-0.004,-0.0002,-0.022,0.0,0.0004,
34,62.647,1.00443,9.99677,-0.000741402,9.99677,-0.004,-0.0002,-0.020,0.0,0.0004,
44,212.030,0.100117,9.99612,0.000140105,9.99612,0.001,-0.0002,-0.040,0.0,0.0004,

