
Serial number : IM3021060003  Range : 2A

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
24,23.994,10.0471,0.009988,4.29146E-06,0.009988,0.025,-1,-0.011,0.0,2,
34,62.678,1.00443,0.00998861,9.95526E-07,0.00998861,0.006,-1,-0.009,0.0,2,
44,212.069,0.100117,0.00998684,1.15793E-07,0.00998684,0.001,-1,-0.007,0.0,2,


Serial number : IM3021060003  Range : 400mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
24,23.995,10.0471,0.00998774,2.02608E-06,0.00998774,0.012,-0.2,-0.003,0.0,0.4,
34,62.680,1.00443,0.00997764,-7.03643E-07,0.00997764,-0.004,-0.2,-0.003,0.0,0.4,
44,212.070,0.100117,0.00998726,-2.04931E-07,0.00998726,-0.001,-0.2,-0.001,0.0,0.4,


Serial number : IM3021060003  Range : 200mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
24,23.993,10.0471,0.0999566,-4.15008E-06,0.0999566,-0.002,-0.1,-0.012,0.0,0.2,
34,62.678,1.00443,0.0999441,-7.03867E-07,0.0999441,0.000,-0.1,-0.009,0.0,0.2,
44,212.068,0.100117,0.0999517,6.0359E-07,0.0999517,0.000,-0.1,-0.018,0.0,0.2,


Serial number : IM3021060003  Range : 40mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
24,24.019,10.0471,0.099953,1.79998E-05,0.099953,0.010,-0.02,-0.003,0.0,0.04,
34,62.704,1.00443,0.0999102,9.73358E-05,0.0999103,0.056,-0.02,-0.003,0.0,0.04,
44,212.094,0.100117,0.0999553,-1.02675E-06,0.0999553,-0.001,-0.02,-0.004,0.0,0.04,


Serial number : IM3021060003  Range : 20mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
24,24.002,10.0471,0.998022,-0.000123412,0.998022,-0.007,-0.01,-0.011,0.0,0.02,
34,62.690,1.00443,0.997928,0.000118052,0.997928,0.007,-0.01,-0.011,0.0,0.02,
44,212.081,0.100117,0.997956,3.8843E-05,0.997956,0.002,-0.01,-0.004,0.0,0.02,


Serial number : IM3021060003  Range : 4mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
24,24.012,10.0471,0.997901,-5.064E-05,0.997901,-0.003,-0.002,-0.003,0.0,0.004,
34,62.695,1.00443,0.998429,0.000154556,0.998429,0.009,-0.002,-0.002,0.0,0.004,
44,212.085,0.100117,0.997975,-0.000115421,0.997975,-0.007,-0.002,-0.001,0.0,0.004,

