
Serial number : IM1021060040  Range : 2A

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,0.00998661,2.17649E-05,0.00998663,0.125,-1,-0.009,0.0,2,
2,7.582,0.999775,0.00998796,-1.69521E-05,0.00998797,-0.097,-1,-0.009,0.0,2,
3,39.647,0.0996515,0.0100403,-0.000170359,0.0100418,-0.972,-1,-0.009,0.0,2,


Serial number : IM1021060040  Range : 200mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,0.0999454,2.32626E-05,0.0999454,0.013,-0.1,-0.010,0.0,0.2,
2,7.582,0.999775,0.0999634,-1.98721E-05,0.0999634,-0.011,-0.1,-0.008,0.0,0.2,
3,39.648,0.0996515,0.099995,-0.000136973,0.0999951,-0.078,-0.1,-0.015,0.0,0.2,


Serial number : IM1021060040  Range : 20mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,0.997825,-4.02296E-05,0.997825,-0.002,-0.01,-0.010,0.0,0.02,
2,7.583,0.999775,0.998089,-2.81995E-05,0.998089,-0.002,-0.01,-0.009,0.0,0.02,
3,39.649,0.0996515,0.997978,7.29019E-05,0.997978,0.004,-0.01,-0.019,0.0,0.02,


Serial number : IM1021060040  Range : 2mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,9.9957,0.000491394,9.9957,0.003,-0.001,-0.009,0.0,0.002,
2,7.583,0.999775,9.99737,-0.000779769,9.99737,-0.004,-0.001,-0.009,0.0,0.002,
3,39.649,0.0996515,9.99584,0.00260011,9.99584,0.015,-0.001,-0.014,0.0,0.002,

