
Serial number : IM1021060033  Range : 2A

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,0.00998661,2.64395E-05,0.00998664,0.152,-1,-0.007,0.0,2,
2,7.582,0.999775,0.00998837,-9.07423E-06,0.00998837,-0.052,-1,-0.007,0.0,2,
3,39.648,0.0996515,0.0100147,-8.79681E-05,0.0100151,-0.503,-1,-0.011,0.0,2,


Serial number : IM1021060033  Range : 200mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,0.0999434,2.0296E-05,0.0999434,0.012,-0.1,-0.007,0.0,0.2,
2,7.582,0.999775,0.0999525,-5.55644E-06,0.0999525,-0.003,-0.1,-0.006,0.0,0.2,
3,39.648,0.0996515,0.0999775,-7.0141E-05,0.0999775,-0.040,-0.1,-0.009,0.0,0.2,


Serial number : IM1021060033  Range : 20mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,0.997916,0.000109512,0.997916,0.006,-0.01,-0.007,0.0,0.02,
2,7.583,0.999775,0.99796,-1.30286E-05,0.99796,-0.001,-0.01,-0.005,-240.1,0.02,
3,39.650,0.0996515,0.997992,9.02187E-05,0.997992,0.005,-0.01,-0.012,-193.8,0.02,


Serial number : IM1021060033  Range : 2mA

Pt,Time (s),Freq (Hz),Zreal (Ω),Zimag (Ω),Zmod (Ω),Zphase (°),Idc (A),Vdc (V),Temp (°C),IRange (A),
1,1.951,9.99961,9.99691,-0.00225303,9.99691,-0.013,-0.001,-0.007,0.0,0.002,
2,7.583,0.999775,9.9969,0.000863599,9.9969,0.005,-0.001,-0.010,0.0,0.002,
3,39.650,0.0996515,9.99664,0.00183785,9.99664,0.011,-0.001,-0.002,0.0,0.002,

