* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec  9 2020 17:31:51

* File Generated:     Jul 1 2024 11:47:26

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX4K
Package, TQ144

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, PIO, not used, , , , , , leftBank
2, PIO, M_SCLK2, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
3, PIO, M_MOSI2, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
4, PIO, M_MISO2, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
5, GND, not used, , , , , , UnknownBank
6, VCCIO_3, not used, , , , , , leftBank
7, PIO, M_CS2, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
8, PIO, M_CLK2, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
9, PIO, M_DRDY2, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
10, PIO, not used, , , , , , leftBank
11, PIO, M_DRDY1, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
12, PIO, M_CLK1, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
13, GND, not used, , , , , , UnknownBank
14, GND, not used, , , , , , UnknownBank
15, PIO, M_CS1, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
16, PIO, M_MISO1, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
17, PIO, M_MOSI1, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
18, PIO, M_SCLK1, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
19, PIO, not used, , , , , , leftBank
20, PIO_GBIN, not used, , , , , , leftBank
21, PIO_GBIN, not used, , , , , , leftBank
22, PIO, not used, , , , , , leftBank
23, PIO, not used, , , , , , leftBank
24, PIO, not used, , , , , , leftBank
25, PIO, not used, , , , , , leftBank
26, PIO, not used, , , , , , leftBank
27, VCC, not used, , , , , , UnknownBank
28, PIO, not used, , , , , , leftBank
29, PIO, not used, , , , , , leftBank
30, VCCIO_3, not used, , , , , , leftBank
31, PIO, not used, , , , , , leftBank
32, PIO, not used, , , , , , leftBank
33, PIO, not used, , , , , , leftBank
34, PIO, not used, , , , , , leftBank
37, PIO, ICE_SYSCLK, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
38, PIO, TEST_LED, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
39, PIO, DDS_MCLK1, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
40, VCC, not used, , , , , , UnknownBank
41, PIO, DDS_CS1, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
42, PIO, DDS_SCK1, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
43, PIO, DDS_MOSI1, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
44, PIO, not used, , , , , , bottomBank
45, PIO, DISP_COMM, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
46, VCCIO_2, not used, , , , , , bottomBank
47, PIO, EIS_SYNCCLK, Input, , SB_LVCMOS, Pull Up, Simple Input, bottomBank
48, PIO, not used, , , , , , bottomBank
49, PIO_GBIN, not used, , , , , , bottomBank
52, PIO_GBIN, not used, , , , , , bottomBank
53, AGND_BOT, not used, , , , , , UnknownBank
54, AVDD_BOT, not used, , , , , , UnknownBank
55, PIO, not used, , , , , , bottomBank
56, PIO, not used, , , , , , bottomBank
57, VCCIO_2, not used, , , , , , bottomBank
59, GND, not used, , , , , , UnknownBank
60, PIO, not used, , , , , , bottomBank
61, PIO, not used, , , , , , bottomBank
62, PIO, not used, , , , , , bottomBank
63, PIO, not used, , , , , , bottomBank
64, PIO, not used, , , , , , bottomBank
65, CDONE, not used, , , , , , bottomBank
66, CRESET_B, not used, , , , , , bottomBank
67, SPI_SO, not used, , , , , , bottomBank
68, SPI_SI, not used, , , , , , bottomBank
69, GND, not used, , , , , , UnknownBank
70, SPI_SCK, not used, , , , , , bottomBank
71, SPI_SS_B, not used, , , , , , bottomBank
72, VDDIO_SPI, not used, , , , , , bottomBank
73, PIO, ICE_SPI_SCLK, Input, , SB_LVCMOS, Pull Up, Simple Input, rightBank
74, PIO, ICE_SPI_MOSI, Input, , SB_LVCMOS, Pull Up, Simple Input, rightBank
75, PIO, ICE_SPI_MISO, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
76, PIO, ICE_SPI_CE0, Input, , SB_LVCMOS, Pull Up, Simple Input, rightBank
77, TRST_B, not used, , , , , , rightBank
78, PIO, ICE_GPMO_0, Input, , SB_LVCMOS, Pull Up, Simple Input, rightBank
79, PIO, ICE_GPMO_1,  , , SB_LVCMOS, Pull Up, , rightBank
80, PIO, ICE_GPMO_2, Input, , SB_LVCMOS, Pull Up, Simple Input, rightBank
81, PIO, ICE_GPMI_0, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
82, PIO, not used, , , , , , rightBank
83, PIO, ICE_CHKCABLE, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
84, PIO, not used, , , , , , rightBank
85, PIO, not used, , , , , , rightBank
86, GND, not used, , , , , , UnknownBank
87, PIO, not used, , , , , , rightBank
88, PIO, not used, , , , , , rightBank
89, VCCIO_1, not used, , , , , , rightBank
90, PIO, not used, , , , , , rightBank
91, PIO, not used, , , , , , rightBank
92, VCC, not used, , , , , , UnknownBank
93, PIO_GBIN, not used, , , , , , rightBank
94, PIO_GBIN, not used, , , , , , rightBank
95, PIO, not used, , , , , , rightBank
96, PIO, not used, , , , , , rightBank
97, PIO, not used, , , , , , rightBank
98, PIO, not used, , , , , , rightBank
99, PIO, not used, , , , , , rightBank
100, VCCIO_1, not used, , , , , , rightBank
101, PIO, not used, , , , , , rightBank
